detector,rank_medio,rank_std,rmse_medio
PH,1.8,0.8366600265340756,20.78522733054769
Sem detector (HT),2.0,0.7071067811865476,22.376462776297075
ADWIN,2.8,1.0954451150103321,25.743617963099744
KSWIN,3.4,1.3416407864998738,28.979091433285
